ORIGID,CountyName,PopulationCensus16,IGEasting,IGNorthing,Lat,Long,UniqueGeographicIdentifier,ConfirmedCovidCases,PopulationProportionCovidCases,x,y,FID,TimeStampDate
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,15531,2020-03-05T00:00:00.000Z
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,15532,2020-03-05T00:00:00.000Z
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,15533,2020-03-05T00:00:00.000Z
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,15534,2020-03-05T00:00:00.000Z
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,15535,2020-03-05T00:00:00.000Z
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,15536,2020-03-05T00:00:00.000Z
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,15537,2020-03-05T00:00:00.000Z
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,15538,2020-03-05T00:00:00.000Z
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,15539,2020-03-05T00:00:00.000Z
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,15540,2020-03-05T00:00:00.000Z
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,15541,2020-03-05T00:00:00.000Z
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,15542,2020-03-05T00:00:00.000Z
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,15543,2020-03-05T00:00:00.000Z
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,15544,2020-03-05T00:00:00.000Z
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,15545,2020-03-05T00:00:00.000Z
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,15546,2020-03-05T00:00:00.000Z
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,15547,2020-03-05T00:00:00.000Z
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,15548,2020-03-05T00:00:00.000Z
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,15549,2020-03-06T00:00:00.000Z
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,15550,2020-03-06T00:00:00.000Z
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,15551,2020-03-06T00:00:00.000Z
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,15552,2020-03-06T00:00:00.000Z
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,15553,2020-03-06T00:00:00.000Z
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,15554,2020-03-06T00:00:00.000Z
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,15555,2020-03-06T00:00:00.000Z
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,15556,2020-03-06T00:00:00.000Z
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,15557,2020-03-06T00:00:00.000Z
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,15558,2020-03-06T00:00:00.000Z
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,15559,2020-03-06T00:00:00.000Z
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,15560,2020-03-06T00:00:00.000Z
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,15561,2020-03-06T00:00:00.000Z
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,15562,2020-03-06T00:00:00.000Z
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,15563,2020-03-06T00:00:00.000Z
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,15564,2020-03-06T00:00:00.000Z
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,15565,2020-03-06T00:00:00.000Z
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,15566,2020-03-06T00:00:00.000Z
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,15567,2020-03-06T00:00:00.000Z
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,15568,2020-03-06T00:00:00.000Z
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,15569,2020-03-06T00:00:00.000Z
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,15570,2020-03-06T00:00:00.000Z
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,15571,2020-03-06T00:00:00.000Z
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,15572,2020-03-06T00:00:00.000Z
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,15573,2020-03-06T00:00:00.000Z
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,15574,2020-03-06T00:00:00.000Z
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,15575,2020-03-07T00:00:00.000Z
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,15576,2020-03-07T00:00:00.000Z
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,15577,2020-03-07T00:00:00.000Z
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,15578,2020-03-07T00:00:00.000Z
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,15579,2020-03-07T00:00:00.000Z
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,15580,2020-03-07T00:00:00.000Z
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,15581,2020-03-07T00:00:00.000Z
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,15582,2020-03-07T00:00:00.000Z
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,15583,2020-03-07T00:00:00.000Z
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,15584,2020-03-07T00:00:00.000Z
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,15585,2020-03-07T00:00:00.000Z
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,15586,2020-03-07T00:00:00.000Z
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,15587,2020-03-07T00:00:00.000Z
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,15588,2020-03-07T00:00:00.000Z
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,15589,2020-03-07T00:00:00.000Z
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,15590,2020-03-07T00:00:00.000Z
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,15591,2020-03-07T00:00:00.000Z
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,15592,2020-03-07T00:00:00.000Z
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,15593,2020-03-07T00:00:00.000Z
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,15594,2020-03-07T00:00:00.000Z
,Sligo,65535,165130,323355,54.1581,-8.5345,,,,-8.5345,54.1581,15595,2020-03-07T00:00:00.000Z
,Tipperary,159553,205427,154345,52.6407,-7.9206,,,,-7.9206,52.6407,15596,2020-03-07T00:00:00.000Z
,Waterford,116176,234676,105809,52.2035,-7.4935,,,,-7.4935,52.2035,15597,2020-03-07T00:00:00.000Z
,Westmeath,88770,238362,255966,53.5524,-7.4219,,,,-7.4219,53.5524,15598,2020-03-07T00:00:00.000Z
,Wexford,149722,301627,141559,52.5164,-6.5037,,,,-6.5037,52.5164,15599,2020-03-07T00:00:00.000Z
,Wicklow,142425,311162,197894,53.0205,-6.3442,,,,-6.3442,53.0205,15600,2020-03-07T00:00:00.000Z
,Carlow,56932,278661,163444,52.7168,-6.8367,,,,-6.8367,52.7168,15601,2020-03-08T00:00:00.000Z
,Cavan,76176,246380,304501,53.9878,-7.2937,,,,-7.2937,53.9878,15602,2020-03-08T00:00:00.000Z
,Clare,118817,133493,182732,52.8917,-8.9889,,,,-8.9889,52.8917,15603,2020-03-08T00:00:00.000Z
,Cork,542868,156242,77860,51.9517,-8.6372,,,,-8.6372,51.9517,15604,2020-03-08T00:00:00.000Z
,Donegal,159192,202615,405691,54.8989,-7.96,,,,-7.96,54.8989,15605,2020-03-08T00:00:00.000Z
,Dublin,1347359,313762,235813,53.3605,-6.292,,,,-6.292,53.3605,15606,2020-03-08T00:00:00.000Z
,Galway,258058,151045,235818,53.3705,-8.7362,,,,-8.7362,53.3705,15607,2020-03-08T00:00:00.000Z
,Kerry,147707,92975,102996,52.1689,-9.565,,,,-9.565,52.1689,15608,2020-03-08T00:00:00.000Z
,Kildare,222504,281262,221513,53.238,-6.7837,,,,-6.7837,53.238,15609,2020-03-08T00:00:00.000Z
,Kilkenny,99232,253094,148060,52.5816,-7.2175,,,,-7.2175,52.5816,15610,2020-03-08T00:00:00.000Z
,Laois,84697,244211,193996,52.9952,-7.3423,,,,-7.3423,52.9952,15611,2020-03-08T00:00:00.000Z
,Leitrim,32044,200446,319670,54.1261,-7.9939,,,,-7.9939,54.1261,15612,2020-03-08T00:00:00.000Z
,Limerick,194899,149743,141780,52.5255,-8.7412,,,,-8.7412,52.5255,15613,2020-03-08T00:00:00.000Z
,Longford,40873,220162,275901,53.7325,-7.6952,,,,-7.6952,53.7325,15614,2020-03-08T00:00:00.000Z
,Louth,128884,299463,297349,53.9161,-6.487,,,,-6.487,53.9161,15615,2020-03-08T00:00:00.000Z
,Mayo,130507,117679,297355,53.9191,-9.2537,,,,-9.2537,53.9191,15616,2020-03-08T00:00:00.000Z
,Meath,195044,284946,271349,53.6851,-6.715,,,,-6.715,53.6851,15617,2020-03-08T00:00:00.000Z
,Monaghan,61386,268914,326818,54.1857,-6.9452,,,,-6.9452,54.1857,15618,2020-03-08T00:00:00.000Z
,Offaly,77961,222690,223679,53.2632,-7.6607,,,,-7.6607,53.2632,15619,2020-03-08T00:00:00.000Z
,Roscommon,64544,182029,283486,53.8008,-8.2735,,,,-8.2735,53.8008,15620,2020-03-08T00:00:00.000Z
